Time(s) 	Rel. Power      React.($)  	  CR Bank Pos.
------     ----------		---------		--------
28.250		 1.4275E+00		-0.0128			117.75 
28.500		 1.4114E+00		-0.0197			117.00 
28.750		 1.3988E+00		-0.0254			116.25 
29.000		 1.3849E+00		-0.0315			115.50 
29.250		 1.3690E+00		-0.0382			114.75 
29.500		 1.3541E+00		-0.0446			114.00 
29.750		 1.3391E+00		-0.0509			113.25 
30.000		 1.3249E+00		-0.0569			112.50 
30.250		 1.3079E+00		-0.0639			111.75 
30.500		 1.2931E+00		-0.0701			111.00 
30.750		 1.2790E+00		-0.0759			110.25 
31.000		 1.2656E+00		-0.0816			109.50 
31.250		 1.2505E+00		-0.0879			108.75 
31.500		 1.2349E+00		-0.0943			108.00 
31.750		 1.2206E+00		-0.1003			107.25 
32.000		 1.2058E+00		-0.1064			106.50 
32.250		 1.1935E+00		-0.1115			105.75 
32.500		 1.1772E+00		-0.1184			105.00 
32.750		 1.1628E+00		-0.1244			104.25 
33.000		 1.1486E+00		-0.1304			103.50 
33.250		 1.1342E+00		-0.1364			102.75 
33.500		 1.1205E+00		-0.1422			102.00 
33.750		 1.1071E+00		-0.1479			101.25 
34.000		 1.0937E+00		-0.1536			100.50 
34.250		 1.0800E+00		-0.1597			 99.75 
34.500		 1.0656E+00		-0.1664			 99.00 
34.750		 1.0522E+00		-0.1727			 98.25 
35.000		 1.0379E+00		-0.1795			 97.50 
35.250		 1.0236E+00		-0.1863			 96.75 
35.500		 1.0102E+00		-0.1927			 96.00 
35.750		 9.9565E-01		-0.1997			 95.25 
36.000		 9.8269E-01		-0.2060			 94.50 
36.250		 9.6921E-01		-0.2125			 93.75 
36.500		 9.5595E-01		-0.2190			 93.00 
36.750		 9.4269E-01		-0.2256			 92.25 
37.000		 9.2961E-01		-0.2322			 91.50 
37.250		 9.1695E-01		-0.2385			 90.75 
37.500		 9.0452E-01		-0.2448			 90.00 
37.750		 8.9205E-01		-0.2511			 89.25 
38.000		 8.7968E-01		-0.2575			 88.50 
38.250		 8.6757E-01		-0.2638			 87.75 
38.500		 8.5560E-01		-0.2702			 87.00 
38.750		 8.4423E-01		-0.2761			 86.25 
39.000		 8.3261E-01		-0.2823			 85.50 
39.250		 8.2107E-01		-0.2886			 84.75 
39.500		 8.0965E-01		-0.2948			 84.00 
39.750		 7.9863E-01		-0.3009			 83.25 
40.000		 7.8721E-01		-0.3073			 82.50 
40.250		 7.7663E-01		-0.3132			 81.75 
40.500		 7.6591E-01		-0.3193			 81.00 
40.750		 7.5537E-01		-0.3254			 80.25 
41.000		 7.4522E-01		-0.3309			 79.50 
41.250		 7.3595E-01		-0.3358			 78.75 
41.500		 7.2598E-01		-0.3413			 78.00 
41.750		 7.1624E-01		-0.3467			 77.25 
42.000		 7.0683E-01		-0.3520			 76.50 
