Time(s)   Rel. Power 
---------------------
 0.000    1.0000E+00 
 0.010    1.0137E+00 
 0.020    1.0291E+00 
 0.030    1.0441E+00 
 0.040    1.0556E+00 
 0.050    1.0646E+00 
 0.060    1.0714E+00 
 0.070    1.0753E+00 
 0.080    1.0773E+00 
 0.090    1.0780E+00 
 0.100    1.0781E+00 
 0.110    1.0780E+00 
 0.120    1.0779E+00 
 0.130    1.0777E+00 
 0.140    1.0777E+00 
 0.150    1.0773E+00 
 0.160    1.0773E+00 
 0.170    1.0768E+00 
 0.180    1.0768E+00 
 0.190    1.0762E+00 
 0.200    1.0762E+00 
 0.210    1.0757E+00 
 0.220    1.0753E+00 
 0.230    1.0753E+00 
 0.240    1.0748E+00 
 0.250    1.0744E+00 
 0.260    1.0741E+00 
 0.270    1.0738E+00 
 0.280    1.0734E+00 
 0.290    1.0732E+00 
 0.300    1.0728E+00 
 0.310    1.0725E+00 
 0.320    1.0721E+00 
 0.330    1.0718E+00 
 0.340    1.0715E+00 
 0.350    1.0712E+00 
 0.360    1.0708E+00 
 0.370    1.0705E+00 
 0.380    1.0702E+00 
 0.390    1.0699E+00 
 0.400    1.0695E+00 
 0.410    1.0692E+00 
 0.420    1.0689E+00 
 0.430    1.0686E+00 
 0.440    1.0683E+00 
 0.450    1.0680E+00 
 0.460    1.0677E+00 
 0.470    1.0674E+00 
 0.480    1.0671E+00 
 0.490    1.0668E+00 
 0.500    1.0665E+00 
 0.510    1.0662E+00 
 0.520    1.0659E+00 
 0.530    1.0657E+00 
 0.540    1.0654E+00 
 0.550    1.0651E+00 
 0.560    1.0649E+00 
 0.570    1.0646E+00 
 0.580    1.0643E+00 
 0.590    1.0641E+00 
 0.600    1.0639E+00 
 0.610    1.0636E+00 
 0.620    1.0634E+00 
 0.630    1.0631E+00 
 0.640    1.0629E+00 
 0.650    1.0626E+00 
 0.660    1.0624E+00 
 0.670    1.0622E+00 
 0.680    1.0620E+00 
 0.690    1.0617E+00 
 0.700    1.0615E+00 
 0.710    1.0613E+00 
 0.720    1.0611E+00 
 0.730    1.0609E+00 
 0.740    1.0607E+00 
 0.750    1.0605E+00 
 0.760    1.0603E+00 
 0.770    1.0601E+00 
 0.780    1.0599E+00 
 0.790    1.0597E+00 
 0.800    1.0595E+00 
 0.810    1.0593E+00 
 0.820    1.0591E+00 
 0.830    1.0589E+00 
 0.840    1.0587E+00 
 0.850    1.0585E+00 
 0.860    1.0585E+00 
 0.870    1.0582E+00 
 0.880    1.0582E+00 
 0.890    1.0579E+00 
 0.900    1.0579E+00 
 0.910    1.0575E+00 
 0.920    1.0575E+00 
 0.930    1.0572E+00 
 0.940    1.0572E+00 
 0.950    1.0568E+00 
 0.960    1.0568E+00 
 0.970    1.0565E+00 
 0.980    1.0565E+00 
 0.990    1.0562E+00 
 1.000    1.0562E+00 
 1.100    1.0564E+00 
 1.200    1.0551E+00 
 1.300    1.0537E+00 
 1.400    1.0523E+00 
 1.500    1.0510E+00 
 1.600    1.0498E+00 
 1.700    1.0486E+00 
 1.800    1.0476E+00 
 1.900    1.0465E+00 
 2.000    1.0456E+00 
 2.100    1.0447E+00 
 2.200    1.0440E+00 
 2.300    1.0433E+00 
 2.400    1.0426E+00 
 2.500    1.0419E+00 
 2.600    1.0414E+00 
 2.700    1.0408E+00 
 2.800    1.0403E+00 
 2.900    1.0398E+00 
 3.000    1.0394E+00 
 3.100    1.0389E+00 
 3.200    1.0387E+00 
 3.300    1.0382E+00 
 3.400    1.0381E+00 
 3.500    1.0376E+00 
 3.600    1.0375E+00 
 3.700    1.0371E+00 
 3.800    1.0370E+00 
 3.900    1.0366E+00 
 4.000    1.0366E+00 
 4.100    1.0362E+00 
 4.200    1.0362E+00 
 4.300    1.0359E+00 
 4.400    1.0358E+00 
 4.500    1.0357E+00 
 4.600    1.0356E+00 
 4.700    1.0355E+00 
 4.800    1.0353E+00 
 4.900    1.0352E+00 
 5.000    1.0351E+00 
