Time(s)  Max. Tf
----------------
 0.000   1721.54
 0.010   1721.57
 0.020   1721.62
 0.030   1721.70
 0.040   1721.79
 0.050   1721.90
 0.060   1722.02
 0.070   1722.14
 0.080   1722.26
 0.090   1722.38
 0.100   1722.50
 0.110   1722.63
 0.120   1722.75
 0.130   1722.87
 0.140   1722.99
 0.150   1723.11
 0.160   1723.24
 0.170   1723.36
 0.180   1723.48
 0.190   1723.60
 0.200   1723.72
 0.210   1723.83
 0.220   1723.95
 0.230   1724.07
 0.240   1724.19
 0.250   1724.30
 0.260   1724.42
 0.270   1724.53
 0.280   1724.65
 0.290   1724.76
 0.300   1724.87
 0.310   1724.99
 0.320   1725.10
 0.330   1725.21
 0.340   1725.32
 0.350   1725.43
 0.360   1725.54
 0.370   1725.65
 0.380   1725.76
 0.390   1725.86
 0.400   1725.97
 0.410   1726.08
 0.420   1726.18
 0.430   1726.29
 0.440   1726.39
 0.450   1726.50
 0.460   1726.60
 0.470   1726.71
 0.480   1726.81
 0.490   1726.91
 0.500   1727.01
 0.510   1727.12
 0.520   1727.22
 0.530   1727.32
 0.540   1727.42
 0.550   1727.52
 0.560   1727.62
 0.570   1727.71
 0.580   1727.81
 0.590   1727.91
 0.600   1728.01
 0.610   1728.11
 0.620   1728.20
 0.630   1728.30
 0.640   1728.39
 0.650   1728.49
 0.660   1728.59
 0.670   1728.68
 0.680   1728.77
 0.690   1728.87
 0.700   1728.96
 0.710   1729.06
 0.720   1729.15
 0.730   1729.24
 0.740   1729.33
 0.750   1729.43
 0.760   1729.52
 0.770   1729.61
 0.780   1729.70
 0.790   1729.79
 0.800   1729.88
 0.810   1729.97
 0.820   1730.06
 0.830   1730.15
 0.840   1730.24
 0.850   1730.33
 0.860   1730.42
 0.870   1730.51
 0.880   1730.60
 0.890   1730.68
 0.900   1730.77
 0.910   1730.86
 0.920   1730.95
 0.930   1731.03
 0.940   1731.12
 0.950   1731.20
 0.960   1731.29
 0.970   1731.38
 0.980   1731.46
 0.990   1731.55
 1.000   1731.63
 1.100   1732.48
 1.200   1733.30
 1.300   1734.09
 1.400   1734.85
 1.500   1735.58
 1.600   1736.27
 1.700   1736.93
 1.800   1737.56
 1.900   1738.15
 2.000   1738.72
 2.100   1739.26
 2.200   1739.77
 2.300   1740.25
 2.400   1740.70
 2.500   1741.14
 2.600   1741.54
 2.700   1741.92
 2.800   1742.27
 2.900   1742.61
 3.000   1742.92
 3.100   1743.21
 3.200   1743.48
 3.300   1743.74
 3.400   1743.97
 3.500   1744.19
 3.600   1744.39
 3.700   1744.58
 3.800   1744.75
 3.900   1744.91
 4.000   1745.06
 4.100   1745.19
 4.200   1745.31
 4.300   1745.43
 4.400   1745.53
 4.500   1745.62
 4.600   1745.70
 4.700   1745.78
 4.800   1745.85
 4.900   1745.91
 5.000   1745.96
