Time(s)   Rel. Power 
---------------------
 0.000    1.0000E+00 
 0.010    1.0165E+00 
 0.020    1.0320E+00 
 0.030    1.0457E+00 
 0.040    1.0588E+00 
 0.050    1.0680E+00 
 0.060    1.0741E+00 
 0.070    1.0785E+00 
 0.080    1.0804E+00 
 0.090    1.0811E+00 
 0.100    1.0812E+00 
 0.110    1.0811E+00 
 0.120    1.0810E+00 
 0.130    1.0810E+00 
 0.140    1.0807E+00 
 0.150    1.0807E+00 
 0.160    1.0802E+00 
 0.170    1.0802E+00 
 0.180    1.0796E+00 
 0.190    1.0796E+00 
 0.200    1.0790E+00 
 0.210    1.0790E+00 
 0.220    1.0784E+00 
 0.230    1.0784E+00 
 0.240    1.0777E+00 
 0.250    1.0777E+00 
 0.260    1.0771E+00 
 0.270    1.0770E+00 
 0.280    1.0763E+00 
 0.290    1.0760E+00 
 0.300    1.0756E+00 
 0.310    1.0752E+00 
 0.320    1.0749E+00 
 0.330    1.0745E+00 
 0.340    1.0742E+00 
 0.350    1.0738E+00 
 0.360    1.0735E+00 
 0.370    1.0734E+00 
 0.380    1.0728E+00 
 0.390    1.0724E+00 
 0.400    1.0721E+00 
 0.410    1.0721E+00 
 0.420    1.0715E+00 
 0.430    1.0711E+00 
 0.440    1.0711E+00 
 0.450    1.0705E+00 
 0.460    1.0701E+00 
 0.470    1.0698E+00 
 0.480    1.0695E+00 
 0.490    1.0694E+00 
 0.500    1.0689E+00 
 0.510    1.0685E+00 
 0.520    1.0682E+00 
 0.530    1.0679E+00 
 0.540    1.0679E+00 
 0.550    1.0674E+00 
 0.560    1.0671E+00 
 0.570    1.0668E+00 
 0.580    1.0665E+00 
 0.590    1.0665E+00 
 0.600    1.0660E+00 
 0.610    1.0660E+00 
 0.620    1.0655E+00 
 0.630    1.0655E+00 
 0.640    1.0650E+00 
 0.650    1.0647E+00 
 0.660    1.0647E+00 
 0.670    1.0643E+00 
 0.680    1.0643E+00 
 0.690    1.0638E+00 
 0.700    1.0638E+00 
 0.710    1.0633E+00 
 0.720    1.0633E+00 
 0.730    1.0628E+00 
 0.740    1.0628E+00 
 0.750    1.0624E+00 
 0.760    1.0624E+00 
 0.770    1.0619E+00 
 0.780    1.0619E+00 
 0.790    1.0615E+00 
 0.800    1.0615E+00 
 0.810    1.0611E+00 
 0.820    1.0611E+00 
 0.830    1.0607E+00 
 0.840    1.0607E+00 
 0.850    1.0603E+00 
 0.860    1.0603E+00 
 0.870    1.0599E+00 
 0.880    1.0599E+00 
 0.890    1.0595E+00 
 0.900    1.0595E+00 
 0.910    1.0591E+00 
 0.920    1.0591E+00 
 0.930    1.0588E+00 
 0.940    1.0587E+00 
 0.950    1.0584E+00 
 0.960    1.0584E+00 
 0.970    1.0581E+00 
 0.980    1.0581E+00 
 0.990    1.0577E+00 
 1.000    1.0577E+00 
 1.100    1.0578E+00 
 1.200    1.0564E+00 
 1.300    1.0549E+00 
 1.400    1.0535E+00 
 1.500    1.0521E+00 
 1.600    1.0509E+00 
 1.700    1.0496E+00 
 1.800    1.0484E+00 
 1.900    1.0474E+00 
 2.000    1.0463E+00 
 2.100    1.0456E+00 
 2.200    1.0448E+00 
 2.300    1.0440E+00 
 2.400    1.0433E+00 
 2.500    1.0425E+00 
 2.600    1.0422E+00 
 2.700    1.0414E+00 
 2.800    1.0411E+00 
 2.900    1.0406E+00 
 3.000    1.0399E+00 
 3.100    1.0397E+00 
 3.200    1.0393E+00 
 3.300    1.0390E+00 
 3.400    1.0384E+00 
 3.500    1.0383E+00 
 3.600    1.0380E+00 
 3.700    1.0376E+00 
 3.800    1.0375E+00 
 3.900    1.0370E+00 
 4.000    1.0370E+00 
 4.100    1.0368E+00 
 4.200    1.0366E+00 
 4.300    1.0365E+00 
 4.400    1.0361E+00 
 4.500    1.0361E+00 
 4.600    1.0361E+00 
 4.700    1.0358E+00 
 4.800    1.0358E+00 
 4.900    1.0357E+00 
 5.000    1.0354E+00 
