Time(s)  React.($)
------------------
 0.000    0.0000  
 0.010    0.0077  
 0.020    0.0209  
 0.030    0.0266  
 0.040    0.0314  
 0.050    0.0363  
 0.060    0.0375  
 0.070    0.0394  
 0.080    0.0397  
 0.090    0.0396  
 0.100    0.0394  
 0.110    0.0392  
 0.120    0.0390  
 0.130    0.0388  
 0.140    0.0385  
 0.150    0.0383  
 0.160    0.0380  
 0.170    0.0377  
 0.180    0.0375  
 0.190    0.0372  
 0.200    0.0369  
 0.210    0.0367  
 0.220    0.0364  
 0.230    0.0361  
 0.240    0.0359  
 0.250    0.0356  
 0.260    0.0353  
 0.270    0.0350  
 0.280    0.0348  
 0.290    0.0345  
 0.300    0.0342  
 0.310    0.0340  
 0.320    0.0337  
 0.330    0.0335  
 0.340    0.0332  
 0.350    0.0329  
 0.360    0.0327  
 0.370    0.0324  
 0.380    0.0322  
 0.390    0.0319  
 0.400    0.0317  
 0.410    0.0315  
 0.420    0.0312  
 0.430    0.0310  
 0.440    0.0307  
 0.450    0.0306  
 0.460    0.0303  
 0.470    0.0301  
 0.480    0.0298  
 0.490    0.0297  
 0.500    0.0294  
 0.510    0.0293  
 0.520    0.0290  
 0.530    0.0288  
 0.540    0.0287  
 0.550    0.0285  
 0.560    0.0282  
 0.570    0.0280  
 0.580    0.0279  
 0.590    0.0277  
 0.600    0.0274  
 0.610    0.0273  
 0.620    0.0271  
 0.630    0.0270  
 0.640    0.0267  
 0.650    0.0266  
 0.660    0.0264  
 0.670    0.0263  
 0.680    0.0260  
 0.690    0.0259  
 0.700    0.0257  
 0.710    0.0256  
 0.720    0.0253  
 0.730    0.0252  
 0.740    0.0251  
 0.750    0.0249  
 0.760    0.0248  
 0.770    0.0245  
 0.780    0.0244  
 0.790    0.0243  
 0.800    0.0242  
 0.810    0.0241  
 0.820    0.0238  
 0.830    0.0237  
 0.840    0.0236  
 0.850    0.0235  
 0.860    0.0233  
 0.870    0.0231  
 0.880    0.0230  
 0.890    0.0229  
 0.900    0.0228  
 0.910    0.0227  
 0.920    0.0224  
 0.930    0.0223  
 0.940    0.0222  
 0.950    0.0221  
 0.960    0.0220  
 0.970    0.0217  
 0.980    0.0217  
 0.990    0.0216  
 1.000    0.0215  
